Pking_Entrez_geneID	GO_IDs
111833456	GO:0005622,GO:0005634,GO:0005737,GO:0005840,GO:0005886,GO:0015935,GO:0016020,GO:0022627
111833457	GO:0005634
111833458	GO:0016020,GO:0016021
111833459	GO:0016020,GO:0016021
111833460	
111833461	GO:0016020,GO:0016021
111833462	GO:0005634
111833463	GO:0016020,GO:0016021
111833466	GO:0005742
111833467	GO:0005634
111833468	GO:0005737,GO:0005929,GO:0005930,GO:0042995
111833469	GO:0005576
111833470	GO:0005576,GO:0031012,GO:0062023
111833471	GO:0005575,GO:0031362
111833473	
111833474	GO:0005886,GO:0016020,GO:0016021,GO:0034707
111833476	GO:0005737,GO:0005783,GO:0043529
111833478	
111833479	GO:0005622
111833480	GO:0005575,GO:0005634
111833481	GO:0016020,GO:0016021
111833482	GO:0016459
111833483	GO:0016459
111833484	GO:0005615
111833485	
111833486	GO:0005634,GO:0005730,GO:0005737
111833487	GO:0016020,GO:0016021
111833488	GO:0016020
111833489	GO:0005634,GO:0005737
111833490	GO:0005887,GO:0016020,GO:0016021,GO:0043005,GO:0045202,GO:0045211
111833491	GO:0005634
111833492	
111833493	GO:0005575
111833494	GO:0005673
111833495	GO:0005887,GO:0016020,GO:0016021
111833496	GO:0016020,GO:0030659,GO:0031410
111833498	
111833500	
111833501	
111833502	GO:0005575
111833503	GO:0005887,GO:0016020,GO:0016021
111833505	GO:0005737,GO:0005856
111833506	GO:0005634,GO:0005737,GO:0005829
111833507	GO:0005886
111833508	
111833509	GO:0005739,GO:0042645,GO:1990904
111833510	GO:0005622,GO:0005634
111833511	GO:0005634,GO:0032039
111833512	GO:0000502,GO:0005634,GO:0005654,GO:0005829
111833515	GO:0032299
111833516	GO:0000790,GO:0005654,GO:0005667
111833517	GO:0005737,GO:0005829
111833518	GO:0016020,GO:0016021
111833519	GO:0031514,GO:0036064
111833520	GO:0005940,GO:0015630,GO:0031105,GO:0032160
111833522	
111833523	GO:0005576,GO:0005615
111833524	
111833525	
111833526	
111833527	GO:0005886,GO:0005887,GO:0016020,GO:0016021,GO:0030054,GO:0043005,GO:0045202,GO:0045211
111833528	
111833529	GO:0005634
111833530	
111833531	
111833532	GO:0005942,GO:0005944
111833533	GO:0005634
111833534	GO:0005576
111833536	GO:0005634
111833537	GO:0005739,GO:0005741,GO:0016020,GO:0016021,GO:0031307
111833538	
111833539	GO:0016020,GO:0016021
111833540	GO:0005768,GO:0005886,GO:0008021,GO:0031982
111833541	
111833542	GO:0005576,GO:0031012
111833544	GO:0005634
111833545	GO:0005575
111833546	
111833547	GO:0005634
111833549	GO:0005737,GO:0016020,GO:0016021
111833550	GO:0000776,GO:0005634,GO:1990047
111833551	
111833552	
111833553	GO:0005739,GO:0005741,GO:0016020,GO:0016021
111833554	GO:0005634,GO:0008023
111833556	GO:0005634
111833557	GO:0031463
111833558	GO:0000932,GO:0005654,GO:0035068
111833559	GO:0005634,GO:0016586,GO:0035098
111833560	
111833562	GO:0005576
111833563	
111833566	GO:0016020,GO:0016021
111833567	GO:0012505,GO:0016020,GO:0016021,GO:0031201
111833568	GO:0016459
111833569	GO:0005739,GO:0005743,GO:0016020,GO:0016021
111833570	
111833571	
111833572	GO:0005575
111833573	
111833574	
111833575	GO:0016020,GO:0016021
111833576	GO:0005575
111833577	GO:0005622
111833578	GO:0016020,GO:0016021
111833579	GO:0005764,GO:0005765,GO:0005770,GO:0005886,GO:0016020,GO:0016021
111833581	GO:0005634,GO:0016514
111833582	GO:0000110,GO:0005634,GO:0070522
111833583	GO:0005615,GO:0005764
111833584	GO:0005769
111833586	GO:0005634
111833587	GO:0005737,GO:0016020,GO:0016021,GO:0034702
111833588	GO:0016020,GO:0016021
111833589	GO:0005634,GO:0005737
111833591	
111833593	
111833595	GO:0016020,GO:0016021
111833596	GO:0005622,GO:0030131
111833597	GO:0005739,GO:0005763,GO:0005840
111833598	GO:0005887,GO:0016020,GO:0016021
111833599	GO:0005634,GO:0005737,GO:0005829
111833600	GO:0005575
111833601	GO:0005634
111833602	GO:0005737
111833603	GO:0016020,GO:0016021
111833604	GO:0016020,GO:0030131
111833605	
111833615	
111833616	
111833617	
111833618	
111833619	
111833620	GO:0005622,GO:0005634,GO:0005667,GO:0005737
111833621	
111833622	GO:0005794
111833623	GO:0005887,GO:0016020,GO:0016021
111833625	
111833626	GO:0005768,GO:0005886,GO:0016020,GO:0016021
111833627	GO:0005622
111833628	
111833629	GO:0005622
111833630	GO:0005737,GO:0005739,GO:0005743,GO:0016020,GO:0016021
111833634	
111833635	GO:0005575
111833636	GO:0005575
111833637	GO:0016020,GO:0016021
111833638	
111833639	GO:0016020,GO:0016021
111833640	
111833641	GO:0005575
111833642	GO:0005575
111833643	GO:0000783,GO:0000784
111833646	GO:0016020,GO:0016021
111833647	GO:0005798,GO:0005801,GO:0005874
111833648	GO:0005576,GO:0005615
111833650	GO:0005575
111833651	
111833652	
111833653	
111833654	GO:0016020
111833657	GO:0005615,GO:0031012,GO:0062023
111833658	
111833659	
111833660	
111833661	GO:0000159,GO:0030425
111833662	GO:0016020
111833663	GO:0005634,GO:0005737,GO:0005856,GO:0005874
111833664	GO:0016020,GO:0016021
111833666	GO:0005622,GO:0005929,GO:0060170,GO:0097730
111833667	
111833668	GO:0005777,GO:0005778,GO:0016020,GO:0016021,GO:0031410
111833669	
111833670	GO:0016020,GO:0016021
111833671	GO:0005739,GO:0005743,GO:0005758,GO:0016020
111833672	GO:0005622,GO:0005737,GO:0005840,GO:0022625
111833673	GO:0016020,GO:0016021
111833674	GO:0005886,GO:0005887,GO:0016020,GO:0016021,GO:0043005,GO:0045202,GO:0045211
111833675	GO:0005783,GO:0005794,GO:0016020,GO:0016021
111833676	
111833677	GO:0005730,GO:0032040
111833678	
111833679	
111833683	GO:0005856
111833685	
111833686	
111833687	GO:0016020,GO:0016021
111833688	
111833689	
111833690	GO:0000776
111833691	GO:0005887,GO:0016020,GO:0016021
