Pking_Entrez_geneID	GO_IDs
111833273	GO:0007155,GO:0007160,GO:0007163,GO:0008016,GO:0030031,GO:0031532,GO:0034446
111833274	GO:0007155,GO:0007163,GO:0030031,GO:0031532,GO:0034446
111833275	
111833276	GO:0001569,GO:0001755,GO:0001763,GO:0007275,GO:0007399,GO:0008045,GO:0030154,GO:0030335,GO:0048755,GO:0048843,GO:0050919,GO:0071526
111833277	GO:0001755,GO:0002040,GO:0030335,GO:0048843,GO:0050919,GO:0071526
111833279	GO:0007275,GO:0007507,GO:0030198,GO:0035122,GO:0043589,GO:0090497
111833280	GO:0007416
111833281	GO:0006401,GO:0031047
111833282	
111833283	GO:0006351,GO:0006355,GO:0007275,GO:0008284,GO:0009952,GO:0010468,GO:0021538,GO:0021986,GO:0030900,GO:0030902,GO:0042670,GO:0045944,GO:0060221
111833284	
111833285	
111833286	
111833288	GO:0007165,GO:0030336
111833289	
111833291	GO:0006511,GO:0016579,GO:0034122
111833292	
111833294	GO:0001522,GO:0009451
111833295	GO:0070059
111833296	GO:0006811
111833297	GO:0006468,GO:0007165,GO:0009617,GO:0016310,GO:0045893
111833298	GO:0007165,GO:0007186,GO:0007200,GO:0070257,GO:0097746
111833299	GO:0010591,GO:0010976,GO:0030042,GO:0030837,GO:0042989,GO:0051016
111833300	GO:0006468,GO:0035556
111833301	GO:0006383
111833302	GO:0006470
111833304	GO:0007166
111833305	
111833306	
111833307	GO:0006412,GO:0006418,GO:0006437,GO:0043039
111833308	GO:0000082,GO:0001666,GO:0006813,GO:0007050,GO:0007096,GO:0007219,GO:0007605,GO:0008284,GO:0008285,GO:0009749,GO:0016310,GO:0030308,GO:0031116,GO:0032355,GO:0042127,GO:0042326,GO:0042493,GO:0043200,GO:0043434,GO:0045732,GO:0045736,GO:0045737,GO:0045892,GO:0046686,GO:0048102,GO:0071407,GO:0071850,GO:1902746
111833309	
111833311	GO:0055085
111833312	
111833313	
111833314	
111833315	GO:0007166
111833318	GO:0007275,GO:0009953,GO:0016055,GO:0030514,GO:0035567,GO:0048066,GO:0048263,GO:0050821,GO:0060070,GO:0090090
111833319	
111833320	GO:0034198,GO:0042149,GO:0061462,GO:1904262
111833321	GO:0008150
111833322	GO:0001992,GO:0007165,GO:0007186,GO:0032870,GO:0045907
111833323	GO:0006508,GO:0031018,GO:1990798
111833324	
111833331	
111833335	
111833336	
111833337	GO:0007165
111833338	
111833339	GO:0008152,GO:0035269,GO:0043403,GO:0060538
111833341	
111833343	GO:0006811,GO:0006813,GO:0034765,GO:0051260,GO:0055085,GO:0071805
111833344	
111833346	GO:0007267,GO:0008150
111833350	GO:0007155,GO:0007156
111833351	GO:0007275,GO:0009966,GO:0021594,GO:0030097,GO:0040036,GO:0040037,GO:0043407,GO:0046580,GO:0048741,GO:0070373
111833352	GO:0007015,GO:0030036
111833353	GO:0010862,GO:0030237,GO:0030509,GO:0042981,GO:0043408,GO:0048468,GO:0060395
111833355	
111833356	
111833357	
111833358	GO:0005975,GO:0006043,GO:0006044,GO:0006046,GO:0006048,GO:0019262
111833359	GO:0006122
111833360	GO:0001525,GO:0007275,GO:0008284,GO:0008543,GO:0030097,GO:0030154,GO:0030335,GO:0045542,GO:0045766,GO:0045944,GO:0051781,GO:0060681,GO:1902533
111833361	GO:0006811,GO:0051260
111833362	
111833364	
111833365	
111833366	GO:0000281,GO:0000921,GO:0060271
111833367	GO:0000079,GO:0000278,GO:0007088,GO:0008284,GO:0045787
111833368	GO:0006351,GO:0006355,GO:0019222,GO:0033555,GO:0036367,GO:0042921,GO:0043009,GO:0043402,GO:0045893,GO:0048512,GO:0048703,GO:0050801,GO:0051384,GO:0051414,GO:0055074,GO:0055078,GO:0070509,GO:0071548,GO:0120029,GO:1902036
111833369	GO:0007165
111833370	GO:0000079,GO:0000278,GO:0007088,GO:0008284,GO:0045787,GO:0051726
111833371	GO:0006457,GO:0032502
111833372	GO:0006811,GO:0006814
111833373	GO:0015031,GO:0016192
111833374	GO:0002761,GO:0002829,GO:0006879,GO:0007034,GO:0010629,GO:0030001,GO:0031398,GO:0032410,GO:0032713,GO:0042130,GO:0045619,GO:0045732,GO:0048294,GO:0048302,GO:0050728,GO:0051224
111833375	GO:0006811,GO:0006816,GO:0007601,GO:0034765,GO:0043029,GO:0050808,GO:0050856,GO:0050885,GO:0050910,GO:0050974,GO:0055085,GO:0070509,GO:0070588
111833376	GO:0000290,GO:0031087,GO:0043085
111833377	GO:0006281,GO:0006310,GO:0006338,GO:0006351,GO:0006355,GO:0006974,GO:0007049,GO:0051301
111833378	GO:0006811,GO:0006816,GO:0018345,GO:0032469
111833379	GO:0019285,GO:0055114
111833380	GO:0007165
111833381	
111833382	
111833383	
111833384	GO:0008152
111833385	GO:0042572
111833386	
111833387	GO:0007605,GO:0030198,GO:0030199,GO:0051216,GO:0060536
111833389	GO:0007399,GO:0007409,GO:0060041,GO:0061075
111833390	
111833391	GO:0001570,GO:0048856
111833392	GO:0006629,GO:0006654,GO:0008152,GO:0008654
111833393	
111833395	GO:0006816,GO:0006874,GO:0007154,GO:0008016,GO:0045214,GO:0055085
111833396	
111833397	GO:0008150
111833398	GO:0008150
111833401	GO:0042572
111833402	GO:0034244,GO:0045892,GO:1901534,GO:1902038
111833403	GO:0035971
111833405	
